gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,operation_mode,other_moving_ac,QDepDep,taxi_time
20,19,25,2208.5422483081093,427.9316256267247,0,1782.716038614929,116.8475823,650.6122274909001,0,14,0,9.233333333333333
20,19,25,2027.774651911268,698.4368842029039,0,1798.6094386103846,91.9089601694,0.0,0,12,0,5.516666666666667
20,20,25,2316.7556883524103,492.0860134429201,0,2195.3594769551773,126.201474686,0.0,0,8,0,9.716666666666669
20,20,25,1731.1191455178928,562.5786732059357,0,1165.5475705102426,162.1488571428,886.4465447797426,0,8,0,3.4833333333333334
20,20,25,1749.2134861711877,567.4322541299725,0,1204.5931143845496,103.676652407,0.0,0,9,0,3.983333333333333
20,20,25,2045.5763778928376,411.3538993006937,0,1799.350855615441,112.574782287,0.0,0,10,0,4.3
20,20,25,1391.6609157355788,293.0096188253881,0,1087.9777130400255,103.788931741,623.2193247307075,0,9,0,3.5
20,20,25,1618.117574887728,442.5776902836189,0,1207.8339287753256,87.6834748021,575.4407558091866,0,10,0,5.716666666666667
20,20,25,1978.0548071695653,658.9586559239541,0,1740.1272410607994,73.4295357349,1150.1577085007834,0,8,0,4.766666666666667
16,16,26,727.1647823297272,217.67670556879975,0,546.5730786265792,0.0,0.0,0,10,0,4.8
16,16,26,1100.5491949733348,373.3926737075616,0,860.5920175453741,112.201789352,574.7169526915969,0,11,0,3.6166666666666663
16,16,26,1299.5233364083906,232.5454911197901,0,1121.2900313181765,0.0,891.6137929142803,0,12,1,7.8
16,16,26,1082.5765008835076,390.0071142026307,0,830.5640984712003,82.4634639933,596.2474295666939,0,10,2,11.033333333333331
16,16,26,1986.7401198438656,282.0330551082122,0,1802.855932826904,0.0,974.8760264943768,0,13,3,10.583333333333334
16,16,26,2056.8592443958214,458.2422590625623,0,1563.8930549574543,71.1519727783,923.4468989662428,0,11,0,5.55
16,16,26,1781.4371721989316,484.24534234001806,0,1341.993462662629,116.843538226,575.4407558091866,0,12,0,4.4
16,16,26,1748.1688962743876,503.847812888648,0,1125.6885712565495,78.3397662866,0.0,0,14,0,7.183333333333334
16,16,26,1502.202209442289,348.62867221320204,0,1306.2831668613749,84.7457731106,746.9421803053973,0,17,1,10.166666666666666
16,16,26,938.7571684079272,389.07807939550906,0,662.831530627613,101.443894651,0.0,0,16,1,11.3
16,16,26,1491.6092918418806,561.7533502591954,0,1087.9777130400255,103.788931741,806.5635632358426,0,14,0,4.75
16,16,26,1544.635121909289,435.4015401545291,0,1387.2043563481748,0.0,746.9421803053973,0,16,2,10.166666666666666
16,16,26,2246.9908158654603,582.4963173343688,0,1969.9523795533412,87.1816780958,612.4411099956866,0,15,0,5.05
16,16,26,3519.509793335351,572.6536501730286,0,3348.6441140217644,0.0,2008.432047771288,0,17,3,12.7
16,16,26,1845.3000871467048,593.9292805275601,0,1629.9787496335996,101.443894651,0.0,0,16,0,5.133333333333334
16,17,26,3062.2463493152786,699.7632740312295,0,2642.4744600346025,0.0,1499.075981603548,0,19,4,15.616666666666667
16,16,26,1397.5504333857104,345.5084586632261,0,928.7977470268496,88.9090138822,575.4407558091866,0,16,0,4.1
16,17,26,3307.3148087934505,624.7978594105679,0,3073.2498839711643,106.423920412,1743.1865729575538,0,20,6,16.566666666666666
16,17,26,1544.635121909289,435.4015401545291,0,1387.2043563481748,0.0,746.9421803053973,0,19,4,14.333333333333334
16,17,26,1879.4201455157515,407.0652182955769,0,1564.0909375717688,78.3397662866,1317.2456923341124,0,12,9,30.366666666666667
16,16,26,1983.7290457356053,581.4670909507918,0,1517.3316763159291,90.631546504,575.4407558091866,0,15,0,5.8
16,17,26,945.9289249307972,270.3235206446804,0,746.9421803053973,87.6834748021,596.2474295666939,0,15,4,9.316666666666666
16,17,26,2871.1646525258884,728.6985006477767,0,2642.4744600346025,101.049188081,974.8760264943768,0,15,5,17.066666666666666
17,17,12,4395.793738241133,847.625646211693,0,2279.731463001046,120.216071857,2025.922477325268,0,15,101,24524.43333333333
