id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
20-Oct-2024_EZY171V ,arrival,9.433333333333334,16,16,20,2653.4418987395434,546.5512256557456,0,2278.1486133431627,66.3146580032,1070.438452629734,1516.6887881066095,23R/05L,1,1,18,0,0,2,0,0,0,10,3
20-Oct-2024_EZY2035 ,departure,11.383333333333333,16,16,20,1849.3690241673507,729.6362042650369,0,1536.5088880229648,83.0918278028,751.8728602562618,1014.4043361082889,,-1,1,18,4,4,0,0,9,4,0,0
20-Oct-2024_TOM509  ,arrival,4.483333333333333,16,16,20,1996.4597162990315,561.5898021100444,0,1819.0299061752482,0,0,1996.4597162990315,23R/05L,1,1,18,0,0,2,1,0,0,10,5
20-Oct-2024_RYR89LQ ,arrival,4.266666666666667,16,16,20,1821.7946826766179,668.3744892847343,0,1541.1507332234123,87.1816780958,575.4407558091866,1159.1722487716313,23R/05L,1,1,18,0,0,2,2,0,0,9,7
20-Oct-2024_EZY14ND ,departure,12.15,16,17,20,2757.612283645101,1087.3636776968108,0,2182.208415912617,90.959777885,916.9506637659618,1749.7018419941392,,-1,1,18,2,6,0,0,7,7,0,0
20-Oct-2024_SAS541  ,arrival,15.833333333333334,17,16,20,1617.3599799219098,584.5418751423193,0,1155.2163342079543,106.733294121,0,1510.6266858009099,23R/05L,1,1,17,0,0,2,6,0,0,7,6
20-Oct-2024_RYR428Q ,departure,11.216666666666667,16,17,20,2286.137751466079,828.8325858507931,1,1700.2290000928717,101.443894651,0,2184.693856815079,,-1,1,17,1,6,0,0,6,8,0,0
20-Oct-2024_TOM6JV  ,arrival,8.433333333333334,17,16,20,2710.9212328212298,629.7338211915188,0,2504.779092597546,68.8858870922,1019.764459621634,1622.2708861073957,23R/05L,1,1,15,0,0,1,3,0,0,7,6
20-Oct-2024_EWG47U  ,arrival,7.333333333333333,17,16,20,2547.194818344544,467.9306782235651,0,2151.868270745663,0,1019.764459621634,1527.4303587229097,23R/05L,1,1,16,0,0,1,4,0,0,6,7
20-Oct-2024_N721KJ  ,arrival,1.9,17,16,20,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,1,15,0,0,0,2,0,0,7,8
20-Oct-2024_TAP1313 ,departure,16.966666666666665,17,17,20,2579.7010881889655,777.1351982260674,0,2221.1354547616506,107.541906653,578.1768592638504,1893.9823222721152,,-1,1,18,2,5,0,0,7,5,0,0
20-Oct-2024_SWR357K ,departure,10.283333333333333,17,17,20,1975.6158670128048,342.4393309955743,0,1687.7953896491697,0,578.1768592638504,1397.4390077489543,23L/05R,2,1,16,2,4,0,0,7,5,0,0
20-Oct-2024_EZY26LA ,arrival,4.566666666666666,17,17,20,1553.3929488038318,672.2730275509755,0,1024.4348590114496,170.07485191,0,1383.3180968938318,,-1,1,12,0,0,1,1,0,0,8,4
20-Oct-2024_EZY706  ,arrival,3.5,17,17,20,1445.7021147155103,345.15143897128235,0,982.2404050092495,83.0918278028,575.4407558091866,787.1695311035237,23R/05L,1,1,12,0,0,1,1,0,0,7,3
20-Oct-2024_RUK3226 ,departure,13.433333333333334,17,17,20,2047.8475812490285,661.4629350963016,1,1653.2578227576282,82.9530943613,0,1964.8944868877286,23L/05R,2,1,15,2,4,0,0,7,4,0,0
20-Oct-2024_SXS4PC  ,arrival,7.333333333333333,17,17,20,2462.1110130117104,610.1062065002213,0,2227.4110849403137,101.049188081,0,2361.0618249307104,23R/05L,1,1,15,0,0,1,0,0,0,7,3
20-Oct-2024_EZY35PR ,departure,9.45,17,17,20,1028.2871411721997,408.4479750297752,0,634.9175189571711,103.676652407,0,924.6104887651996,,-1,1,12,2,5,0,0,7,4,0,0
20-Oct-2024_EZY89BD ,departure,9.183333333333334,17,17,20,892.8362053399618,148.15782259978602,0,762.7011480532617,91.6845157884,0,801.1516895515617,,-1,1,12,3,5,0,0,8,4,0,0
20-Oct-2024_KLM91N  ,arrival,6.183333333333334,17,17,20,2702.015365344944,496.1874128946581,0,2350.049588628163,0,1019.764459621634,1682.2509057233096,23R/05L,1,1,15,0,0,1,2,0,0,9,4
20-Oct-2024_RYR42WZ ,arrival,3.283333333333333,17,17,20,1513.6316200788158,427.0002889526454,0,1152.850744021794,90.631546504,623.2193247307075,799.7807488441083,,-1,1,14,0,0,1,3,0,0,8,5
