PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,taxi_time
3.428218504,-1.299869064,2.529228691,0.815850237,-0.52865844,-0.65970733,2.336498738,0.906978043,-0.513163539,-0.415382853,0.256122121,-2.118491136,11.53333333
-2.368255189,1.302079576,0.681226389,-0.603635828,-0.192422384,0.920123148,-0.977292034,-0.29028811,-0.897675027,-0.993687848,0.366197447,-1.049330967,10.06666667
3.839415209,-1.370998978,3.295633623,1.21012231,-0.897546282,-0.878950272,1.704515075,1.198960018,0.270775288,-0.834692687,-0.002071089,-0.661966161,14.11666667
-0.594321317,2.707379248,0.890990777,-0.473515984,-1.231942484,0.604294711,-0.289396947,-0.828278255,0.143079107,-0.695102067,0.551221809,0.735858673,5.333333333
-0.240064027,3.147184122,1.004390893,-0.687542557,-1.212972841,0.396155332,-0.621079358,-0.127357749,0.165715374,-0.739288919,-0.34600166,0.388044134,8.9
-3.875705309,10.34372681,8.201434783,-0.098195215,18.94097894,-10.32943709,0.376956846,0.516426481,1.165496127,0.88579591,1.018981218,1.584231219,27423.25
-0.378791326,3.360375141,1.181294025,-0.301388485,-1.369577487,0.550467479,-0.095835483,-0.485339586,-0.261661654,-0.430069448,-0.411971738,0.645287264,8.25
1.919045838,-0.905623335,1.645758003,-1.171594317,-0.375808251,-0.158090676,-0.76438693,0.280810225,-1.138436087,0.177639215,0.393589814,1.820081259,13
-0.209133219,-3.616564783,1.988048457,0.085955778,0.558847496,0.208098705,-1.288201572,-1.273623772,0.510750019,-0.844623597,-0.166936242,0.804822354,8.15
-0.636617195,3.119520493,1.226985599,-0.586527401,-0.941466538,0.3895815,-0.864321221,-0.198759073,0.021719443,-1.001223902,-0.244930026,0.351688115,7.35
-3.560532361,-0.159767097,1.252532985,0.481417185,-0.600491032,1.169841965,-1.458198389,1.386385734,0.377381228,-1.06612856,-0.600105835,0.384822068,1.65
-0.750148816,-3.875298329,2.074476611,0.922147873,0.467476781,0.358270317,-0.251407358,-1.100997422,0.47932074,-0.161631732,-0.111764733,1.104049482,4.8
-1.929797816,1.902389684,1.407907714,0.245189267,-0.612115109,0.633868902,-0.401687838,-0.060670254,0.023494406,-0.714931802,0.174258859,0.703791865,2.933333333
